stop_id,stop_name,stop_lat,stop_lon
DDD_n4363242537,Liberté 6 – Av. Fahd,14.7272561,-17.4566865
DDD_n4363242520,Terminus Liberté 5,14.7246076,-17.4570776
DDD_n4755215633,Médina – Rue 11,14.6762954,-17.4469186
DDD_n4755215632,Médina – Rue 13,14.6750367,-17.4497369
DDD_n4755215631,Médina – Arrêt DDD 23-18,14.6768192,-17.4516198
DDD_n4755215630,Gueule Tapée – Canal,14.6789040,-17.4538474
DDD_n4755215629,Gueule Tapée – Fass,14.6809811,-17.4550759
DDD_n5052292969,Sicap Baobab – Front de Terre,14.7100996,-17.4574397
DDD_n4363241835,HLM – Front de Terre,14.7139766,-17.4539967
DDD_n4363241859,Front de Terre,14.7174249,-17.4509834
DDD_n4363241880,Front de Terre – Castors,14.7203631,-17.4484049
DDD_n4363242497,Castors,14.7222251,-17.4468173
DDD_n4363242524,Castors – Nord,14.7255696,-17.4448868
DDD_n4755215628,Castors – Av. Roi Fahd,14.7273015,-17.4471915
DDD_n4755215627,Av. Roi Fahd Ben Abdel Aziz,14.7277425,-17.4504062
DDD_n4323838493,Rond-point Liberté 6,14.7308875,-17.4565734
DDD_n4323838511,Crédit Mutuel,14.7354522,-17.4557440
DDD_n4323838526,Mosquée Arafat 5,14.7396452,-17.4532981
DDD_n4323838555,Cité Montagne Parcelles,14.7462716,-17.4456089
DDD_n4323838560,Tally Bou Bess Parcelles,14.7485016,-17.4438396
DDD_n4323838571,Police Parcelles,14.7503782,-17.4406336
DDD_n4323838584,Cité Soprim,14.7518652,-17.4366257
DDD_n4323838588,Parcelles Assainies – Unité 8,14.7538047,-17.4351526
DDD_n4323839202,PA Unité 08,14.7557106,-17.4356977
DDD_n4323839223,Mairie Parcelles Assainies,14.7574730,-17.4369906
DDD_n4323839217,PA Unité 17,14.7567899,-17.4402797
DDD_n4323839200,PA Unité 21,14.7555965,-17.4462618
DDD_n4323839204,PA Unité 24,14.7558066,-17.4471002
DDD_n4323839249,PA Unité 23,14.7612249,-17.4482508
DDD_n4323839254,École Élémentaire,14.7615744,-17.4496769
DDD_n4323839232,Croisement Diamalaye,14.7589589,-17.4510514
DDD_n4323839233,École Dior,14.7590235,-17.4471448
DDD_n4323839236,PA Unité 20,14.7595475,-17.4444913
DDD_n4666414391,Terminus Parcelles Assainies,14.7603996,-17.4394029
